RunID;RunDateTime;Moves HTM Count
188;2025-04-24 07:26:13;99
189;2025-04-24 07:26:29;110
189;2025-04-24 07:26:29;112
189;2025-04-24 07:26:29;113
189;2025-04-24 07:26:29;113
189;2025-04-24 07:26:29;111
189;2025-04-24 07:26:29;112
189;2025-04-24 07:26:29;101
189;2025-04-24 07:26:29;101
189;2025-04-24 07:26:29;123
189;2025-04-24 07:26:29;122
190;2025-04-24 07:27:16;122
190;2025-04-24 07:27:16;121
190;2025-04-24 07:27:16;114
190;2025-04-24 07:27:16;114
190;2025-04-24 07:27:16;118
190;2025-04-24 07:27:16;120
190;2025-04-24 07:27:16;97
190;2025-04-24 07:27:16;114
190;2025-04-24 07:27:16;99
190;2025-04-24 07:27:16;114
191;2025-04-24 07:27:42;96
191;2025-04-24 07:27:42;99
191;2025-04-24 07:27:42;98
191;2025-04-24 07:27:42;96
191;2025-04-24 07:27:42;96
191;2025-04-24 07:27:42;96
191;2025-04-24 07:27:42;99
191;2025-04-24 07:27:42;98
191;2025-04-24 07:27:42;96
191;2025-04-24 07:27:42;96
192;2025-04-24 07:28:11;86
192;2025-04-24 07:28:11;87
192;2025-04-24 07:28:11;85
192;2025-04-24 07:28:11;88
192;2025-04-24 07:28:11;87
192;2025-04-24 07:28:11;88
192;2025-04-24 07:28:11;90
192;2025-04-24 07:28:11;88
192;2025-04-24 07:28:11;90
192;2025-04-24 07:28:11;90
193;2025-04-24 07:28:21;89
193;2025-04-24 07:28:21;89
193;2025-04-24 07:28:21;87
193;2025-04-24 07:28:21;87
193;2025-04-24 07:28:21;113
193;2025-04-24 07:28:21;101
193;2025-04-24 07:28:21;105
193;2025-04-24 07:28:21;116
193;2025-04-24 07:28:21;122
193;2025-04-24 07:28:21;124
194;2025-04-24 07:29:14;122
194;2025-04-24 07:29:14;125
194;2025-04-24 07:29:14;129
194;2025-04-24 07:29:14;129
194;2025-04-24 07:29:14;124
194;2025-04-24 07:29:14;122
194;2025-04-24 07:29:14;130
194;2025-04-24 07:29:14;130
194;2025-04-24 07:29:14;121
194;2025-04-24 07:29:14;121
195;2025-04-24 07:29:43;122
195;2025-04-24 07:29:43;107
195;2025-04-24 07:29:43;108
195;2025-04-24 07:29:43;93
195;2025-04-24 07:29:43;107
195;2025-04-24 07:29:43;112
195;2025-04-24 07:29:43;104
195;2025-04-24 07:29:43;104
195;2025-04-24 07:29:43;101
195;2025-04-24 07:29:43;103
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;84
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;84
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;84
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;85
196;2025-04-24 07:30:48;84
197;2025-04-24 07:31:05;106
197;2025-04-24 07:31:05;87
197;2025-04-24 07:31:05;77
197;2025-04-24 07:31:05;88
197;2025-04-24 07:31:05;94
197;2025-04-24 07:31:05;97
197;2025-04-24 07:31:05;89
197;2025-04-24 07:31:05;90
197;2025-04-24 07:31:05;92
197;2025-04-24 07:31:05;90
198;2025-04-24 07:31:43;108
198;2025-04-24 07:31:43;109
198;2025-04-24 07:31:43;114
198;2025-04-24 07:31:43;93
198;2025-04-24 07:31:43;97
198;2025-04-24 07:31:43;93
198;2025-04-24 07:31:43;92
198;2025-04-24 07:31:43;97
198;2025-04-24 07:31:43;93
198;2025-04-24 07:31:43;117
200;2025-04-24 09:30:45;119
