Start Count;End Count;Improvement Count;Starting Positions;Move Sequence;Move Count;Value
6;7;1;E1-E2-E3-K1-K2-K3;Fb Lb F F L F;6;0.17
7;8;1;E1-E2-E3-E4-K1-K2-K3;F R F Rb Ub R R R U;9;0.11
4;5;1;E2-K1-K3-K4;Fb Db F;3;0.33
6;7;1;E1-E2-E4-K1-K3-K4;Rb D R;3;0.33
7;8;1;E1-E2-E3-E4-K1-K3-K4;Rb L B Lb R;5;0.20
4;5;1;E1-E2-E4-K2;F D Fb;3;0.33
6;7;1;E1-E2-E3-E4-K1-K2;R Bb Db Rb Db R B;7;0.14
7;8;1;E1-E2-E3-E4-K1-K2-K3;Fb Lb F L Fb Fb D Fb Db Fb;10;0.10
3;4;1;E1-E2-E4;Db B Rb Rb Bb;5;0.20
4;5;1;E1-E2-E4-K3;F Db Fb Rb Db R;6;0.17
5;6;1;E1-E2-E3-E4-K3;R R L L Ub Ub Lb R R Lb;10;0.10
6;7;1;E1-E2-E3-E4-K3-K4;B B D Bb Db Bb Bb Rb B R;10;0.10
4;5;1;E1-E2-E3-E4;B Fb R F Bb;5;0.20
5;6;1;E1-E2-E3-E4-K3;L Ub Bb Lb Ub B L U;8;0.12
6;7;1;E1-E2-E3-E4-K3-K4;Db Bb Db Bb Bb D Bb Bb Db Bb;10;0.10
4;5;1;E3-E4-K2-K4;D Lb Db L;4;0.25
5;6;1;E1-E3-E4-K2-K4;R B Rb Bb Db Rb;6;0.17
6;7;1;E1-E2-E3-E4-K2-K4;F Bb L B Fb;5;0.20
7;8;1;E1-E2-E3-E4-K1-K2-K4;R Db Rb F Db Fb R;7;0.14
5;6;1;E2-E3-E4-K1-K4;Rb Db Bb D Bb R;6;0.17
6;7;1;E1-E2-E3-E4-K1-K4;Rb D R Bb D B Rb;7;0.14
7;8;1;E1-E2-E3-E4-K1-K3-K4;Rb Rb Db B D Rb Rb B Db Bb;10;0.10
5;6;1;E1-E2-E3-E4-K3;B L B Lb Ub Lb U;7;0.14
7;8;1;E1-E2-E3-E4-K1-K2-K3;Fb Fb D Fb Db F F Lb F L;10;0.10
4;5;1;E2-E4-K1-K2;Db F Db Fb;4;0.25
5;6;1;E2-E3-E4-K1-K2;B Db Bb;3;0.33
6;7;1;E1-E2-E3-E4-K1-K2;Fb D F D D R Fb Fb Rb D;10;0.10
4;5;1;E1-E3-K2-K3;Bb L L B;4;0.25
5;6;1;E1-E3-K1-K2-K3;Db R Fb Rb;4;0.25
6;7;1;E1-E3-K1-K2-K3-K4;Bb L Db Lb B;5;0.20
7;8;1;E1-E2-E3-K1-K2-K3-K4;Fb Db F;3;0.33
3;4;1;E1-E3-K3;D Bb L B;4;0.25
4;5;1;E1-E3-K1-K3;Bb Db Db B;4;0.25
5;6;1;E1-E2-E3-K1-K3;Fb U U B U U;6;0.17
6;7;1;E1-E2-E3-K1-K3-K4;Fb D D F;4;0.25
4;5;1;E3-K1-K2-K4;D Fb Db F;4;0.25
5;6;1;E3-E4-K1-K2-K4;B R D Rb D Bb;6;0.17
6;7;1;E1-E3-E4-K1-K2-K4;Fb R F;3;0.33
7;8;1;E1-E2-E3-E4-K1-K2-K4;Bb F Bb Ub Fb B Ub F U B;10;0.10
4;5;1;E3-E4-K1-K3;Db B;2;0.50
6;7;1;E2-E3-E4-K1-K2-K3;Db B D Bb;4;0.25
7;8;1;E1-E2-E3-E4-K1-K2-K3;Lb R F F Rb L;6;0.17
6;7;1;E1-E2-E3-E4-K3-K4;Lb D L D F Lb Fb;7;0.14
7;8;1;E1-E2-E3-E4-K1-K3-K4;B Db Bb Db Rb B R;7;0.14
4;5;1;E1-E2-E3-E4;Lb R F Rb L;5;0.20
5;6;1;E1-E2-E3-E4-K4;Rb Ub Rb B R B U;7;0.14
6;7;1;E1-E2-E3-E4-K3-K4;Bb Db L L Bb D B L D L;10;0.10
4;5;1;E1-E3-E4-K1;L Bb Lb;3;0.33
5;6;1;E1-E3-E4-K1-K2;Bb Db B;3;0.33
6;7;1;E1-E2-E3-E4-K1-K2;Fb B R R Bb F;6;0.17
7;8;1;E1-E2-E3-E4-K1-K2-K3;F Db Fb Db Lb F L;7;0.14
5;6;1;E1-E2-E3-E4-K4;Fb Rb F Rb Db R D R;8;0.12
6;7;1;E1-E2-E3-E4-K3-K4;R U Rb Ub Rb Ub Rb U R U;10;0.10
6;7;1;E1-E2-E3-E4-K1-K3;D Fb L D Lb F D Fb;8;0.12
7;8;1;E1-E2-E3-E4-K1-K3-K4;Db Db Bb D B Lb D L Bb Db;10;0.10
4;5;1;E1-E2-E3-K4;L Db Lb;3;0.33
5;6;1;E1-E2-E3-E4-K4;B U B Rb Bb Rb Ub;7;0.14
7;8;1;E1-E2-E3-E4-K2-K3-K4;L B L Db B B Lb Bb D L;10;0.10
3;4;1;E1-E3-K2;Fb R Db F;4;0.25
5;6;1;E1-E2-E3-E4-K2;Fb D F Rb D R Fb;7;0.14
6;7;1;E1-E2-E3-E4-K2-K4;Fb B Rb Bb F;5;0.20
4;5;1;E1-E4-K3-K4;Rb D R;3;0.33
5;6;1;E1-E3-E4-K3-K4;Db R D Rb;4;0.25
7;8;1;E1-E2-E3-E4-K2-K3-K4;Bb F L Fb B;5;0.20
4;5;1;E2-K1-K2-K4;D Rb Db R;4;0.25
5;6;1;E2-E3-K1-K2-K4;Fb Db F;3;0.33
6;7;1;E2-E3-E4-K1-K2-K4;Lb Db L;3;0.33
4;5;1;E2-K1-K3-K4;L D Lb;3;0.33
6;7;1;E2-E4-K1-K2-K3-K4;F Db B Db Fb Bb;6;0.17
7;8;1;E2-E3-E4-K1-K2-K3-K4;Lb Db L D Lb Db L;7;0.14
4;5;1;E2-E3-E4-K1;Rb Bb R;3;0.33
5;6;1;E2-E3-E4-K1-K2;Lb R F F Rb L;6;0.17
6;7;1;E2-E3-E4-K1-K2-K4;B R D D Rb D Bb;7;0.14
4;5;1;E2-E3-E4-K2;B D Bb;3;0.33
5;6;1;E1-E2-E3-E4-K2;Fb Rb Rb F D Fb R F Db;9;0.11
6;7;1;E1-E2-E3-E4-K2-K3;F Bb Lb B Fb;5;0.20
6;7;1;E1-E2-E3-E4-K1-K3;L Rb Rb L Ub Ub Lb R R Lb;10;0.10
4;5;1;E1-E2-K2-K4;Fb D F;3;0.33
5;6;1;E1-E2-E4-K2-K4;Rb D R;3;0.33
7;8;1;E1-E2-E3-E4-K1-K2-K4;B B Ub B Ub Lb U L U B;10;0.10
4;5;1;E1-E3-E4-K3;Bb Db B;3;0.33
5;6;1;E1-E2-E3-E4-K3;Lb Fb L D F D Fb;7;0.14
6;7;1;E1-E2-E3-E4-K3-K4;Rb L B R Lb;5;0.20
7;8;1;E1-E2-E3-E4-K2-K3-K4;Bb Lb Lb B D Bb L B;8;0.12
4;5;1;E1-E2-K3-K4;Bb Ub F U B;5;0.20
5;6;1;E1-E2-K1-K3-K4;D Rb D R;4;0.25
7;8;1;E1-E2-E3-E4-K1-K3-K4;R Lb Lb Ub Rb L Ub R U L;10;0.10
5;6;1;E2-E3-E4-K2-K4;Lb D L;3;0.33
7;8;1;E1-E2-E3-E4-K1-K2-K4;Bb Db Rb Db B R B D R;9;0.11
5;6;1;E2-E3-E4-K1-K4;Rb Db B B D R;6;0.17
6;7;1;E1-E2-E3-E4-K1-K4;Ub F L F U F Lb Ub Fb Lb;10;0.10
4;5;1;E3-E4-K3-K4;Bb Bb;2;0.50
6;7;1;E2-E3-E4-K2-K3-K4;F L L Fb;4;0.25
7;8;1;E1-E2-E3-E4-K2-K3-K4;Lb Lb Lb F L Fb Ub Fb U;9;0.11
6;7;1;E1-E3-E4-K2-K3-K4;Bb D B R D Rb;6;0.17
4;5;1;E2-E4-K1-K4;B Db Bb;3;0.33
6;7;1;E1-E2-E4-K1-K2-K4;F Db Db Fb;4;0.25
7;8;1;E1-E2-E3-E4-K1-K2-K4;Rb Db R D B R Bb Db;8;0.12
4;5;1;E2-K2-K3-K4;Db L;2;0.50
5;6;1;E1-E2-K2-K3-K4;Ub F U Lb;4;0.25
6;7;1;E1-E2-K1-K2-K3-K4;F Db F F D F;6;0.17
7;8;1;E1-E2-E4-K1-K2-K3-K4;F Db Fb Rb Db R;6;0.17
4;5;1;E2-E3-E4-K2;B Db Db Bb;4;0.25
5;6;1;E1-E2-E3-E4-K2;R Lb F L Rb;5;0.20
6;7;1;E1-E2-E3-E4-K2-K4;Rb F D Fb R D Rb;7;0.14
7;8;1;E1-E2-E3-E4-K2-K3-K4;Lb Lb D Lb Db L L Bb L B;10;0.10
5;6;1;E1-E2-E3-E4-K1;Fb Rb F Bb Rb B R B;8;0.12
6;7;1;E1-E2-E3-E4-K1-K3;Db Fb Db F D F Rb Db R;9;0.11
7;8;1;E1-E2-E3-E4-K1-K3-K4;Bb Db B D B Lb Db L;8;0.12
6;7;1;E1-E2-E3-E4-K3-K4;Fb Lb Db L F F D L Db Fb;10;0.10
6;7;1;E1-E2-E3-E4-K1-K2;Fb B R F Bb;5;0.20
7;8;1;E1-E2-E3-E4-K1-K2-K3;Fb Lb Fb L U L Ub;7;0.14
4;5;1;E1-E3-K2-K4;Fb R Db F;4;0.25
5;6;1;E1-E3-E4-K2-K4;Fb Ub B U F;5;0.20
6;7;1;E1-E3-E4-K2-K3-K4;R D Rb;3;0.33
7;8;1;E1-E2-E3-E4-K2-K3-K4;Bb Lb B D L D Lb;7;0.14
7;8;1;E1-E2-E3-K1-K2-K3-K4;L Db Lb;3;0.33
5;6;1;E1-E3-K2-K3-K4;Bb L B;3;0.33
7;8;1;E1-E3-E4-K1-K2-K3-K4;Bb Rb Bb Bb R B;6;0.17
4;5;1;E2-E4-K2-K3;Rb Db R;3;0.33
6;7;1;E1-E2-E3-E4-K2-K3;Db Lb Fb Db L F L D L Fb;10;0.10
7;8;1;E1-E2-E3-E4-K1-K2-K3;Fb Fb Fb D Fb Db Lb Fb L D;10;0.10
4;5;1;E1-E2-E4-K1;Ub L B Lb U;5;0.20
